Chl,EC,DO,Phycoprotein,Turbidity,T,PH,Ammonia Nitrogen
9.31,529.84,8.55,678.58,2.72,30.969,8.59,0.49
10.01,529.8,8.54,678.5,2.73,30.971,8.59,0.49
10.4,529.81,8.54,686.46,2.73,30.973,8.59,0.49
8.47,529.84,8.55,677.46,2.7,30.977,8.59,0.49
8.43,529.85,8.55,677.18,2.68,30.98,8.59,0.49
9.56,529.87,8.55,679.78,2.68,30.983,8.59,0.49
9.55,529.86,8.55,690.72,2.73,30.985,8.59,0.49
9.58,529.86,8.55,696.56,2.77,30.986,8.59,0.49
9.73,529.84,8.55,717.77,2.77,30.986,8.59,0.49
9.71,529.84,8.55,715.02,2.78,30.985,8.59,0.49
9.74,529.8,8.55,720.55,2.8,30.983,8.59,0.49
9.72,529.83,8.55,720.8,2.83,30.981,8.59,0.49
9.75,529.83,8.55,738.75,2.83,30.979,8.59,0.49
9.52,529.83,8.55,747.99,2.82,30.978,8.59,0.49
10.13,529.82,8.55,744.11,2.79,30.977,8.59,0.49
9.7,529.87,8.54,754.37,2.81,30.977,8.59,0.49
9.39,529.88,8.54,755.51,2.8,30.977,8.59,0.49
9.59,529.89,8.54,736.66,2.8,30.977,8.59,0.49
9.45,529.89,8.54,727.03,2.79,30.976,8.59,0.49
9.54,529.85,8.54,726.09,2.77,30.976,8.59,0.49
9.71,529.91,8.54,726.79,2.76,30.976,8.59,0.49
8.5,529.89,8.54,711.74,2.74,30.975,8.59,0.49
8.77,529.86,8.54,694.17,2.74,30.975,8.59,0.49
9.0,529.8,8.54,690.73,2.73,30.975,8.59,0.49
9.0,529.8,8.54,682.34,2.74,30.975,8.59,0.49
9.09,529.79,8.54,676.29,2.74,30.974,8.59,0.49
8.95,529.81,8.55,676.05,2.76,30.973,8.59,0.49
8.98,529.78,8.55,678.69,2.8,30.972,8.59,0.49
9.11,529.8,8.55,704.01,2.82,30.971,8.59,0.49
9.19,529.8,8.55,697.82,2.81,30.971,8.59,0.49
9.16,529.79,8.55,708.81,2.83,30.97,8.59,0.49
9.22,529.76,8.55,708.82,2.79,30.97,8.59,0.49
9.3,529.82,8.55,707.8,2.77,30.97,8.59,0.49
9.29,529.85,8.55,722.65,2.75,30.97,8.59,0.49
9.18,529.86,8.55,726.62,2.72,30.97,8.59,0.49
9.27,529.84,8.55,723.55,2.7,30.97,8.59,0.49
9.57,529.85,8.55,730.05,2.69,30.971,8.59,0.49
8.87,529.86,8.55,723.07,2.73,30.971,8.59,0.49
8.29,529.84,8.55,709.76,2.8,30.971,8.59,0.49
14.36,529.8,8.55,704.57,2.81,30.972,8.59,0.49
9.03,529.76,8.56,705.46,2.8,30.97,8.59,0.49
9.58,529.76,8.56,712.84,2.79,30.968,8.59,0.49
9.45,529.75,8.56,706.08,2.79,30.965,8.59,0.49
9.58,529.78,8.56,681.42,2.78,30.961,8.59,0.49
7.84,529.76,8.57,695.72,2.77,30.957,8.59,0.49
12.08,529.77,8.57,690.03,2.66,30.953,8.59,0.49
9.6,529.76,8.57,682.65,2.67,30.951,8.59,0.49
9.34,529.77,8.57,676.93,2.69,30.949,8.6,0.49
9.21,529.79,8.57,678.37,2.71,30.948,8.6,0.49
8.58,529.84,8.57,688.1,2.7,30.949,8.6,0.49
10.77,529.82,8.58,679.56,2.68,30.951,8.6,0.49
9.09,529.82,8.58,681.75,2.67,30.952,8.6,0.49
9.32,529.78,8.58,708.29,2.68,30.952,8.6,0.49
9.36,529.77,8.58,711.12,2.68,30.952,8.6,0.49
9.37,529.72,8.58,710.8,2.62,30.953,8.6,0.49
9.41,529.71,8.58,711.17,2.6,30.954,8.6,0.49
9.45,529.69,8.58,714.72,2.6,30.954,8.6,0.49
9.31,529.67,8.58,719.66,2.61,30.953,8.6,0.49
9.42,529.65,8.58,722.89,2.63,30.953,8.6,0.49
9.63,529.61,8.58,714.42,2.64,30.953,8.6,0.49
9.51,529.57,8.58,726.38,2.61,30.953,8.6,0.49
9.7,529.57,8.58,733.56,2.6,30.951,8.6,0.49
9.68,529.51,8.58,731.18,2.61,30.949,8.6,0.49
9.76,529.47,8.58,726.28,2.62,30.947,8.6,0.49
9.44,529.46,8.58,725.08,2.62,30.942,8.6,0.49
9.51,529.44,8.59,732.74,2.64,30.935,8.6,0.49
9.23,529.47,8.59,738.54,2.62,30.927,8.6,0.49
8.97,529.45,8.59,756.45,2.66,30.917,8.6,0.49
8.77,529.45,8.59,768.18,2.69,30.906,8.6,0.49
8.39,529.38,8.6,778.74,2.69,30.896,8.6,0.49
8.2,529.31,8.6,750.42,2.71,30.886,8.6,0.49
8.39,529.26,8.6,738.89,2.71,30.878,8.6,0.49
7.73,529.22,8.6,734.44,2.74,30.874,8.6,0.49
7.84,529.16,8.6,729.07,2.76,30.872,8.6,0.49
8.26,529.1,8.6,722.81,2.78,30.873,8.6,0.49
8.54,529.06,8.6,714.48,2.78,30.876,8.6,0.49
8.68,529.05,8.6,690.16,2.77,30.881,8.6,0.49
11.27,529.06,8.6,663.48,2.75,30.891,8.6,0.49
11.28,529.04,8.6,654.85,2.7,30.9,8.6,0.49
12.11,529.05,8.6,662.65,2.67,30.898,8.6,0.49
9.09,529.06,8.6,667.89,2.68,30.894,8.6,0.49
10.91,529.11,8.6,687.5,2.6,30.885,8.6,0.49
10.31,529.11,8.6,710.09,2.56,30.875,8.6,0.49
10.43,529.09,8.61,735.73,2.55,30.86,8.6,0.49
9.48,529.02,8.61,747.32,2.55,30.832,8.6,0.49
8.96,528.96,8.62,742.55,2.58,30.804,8.6,0.49
8.92,528.81,8.62,744.47,2.58,30.79,8.6,0.49
12.8,528.76,8.62,767.37,2.58,30.782,8.6,0.49
7.7,528.69,8.62,766.07,2.61,30.775,8.6,0.49
7.9,528.66,8.62,760.47,2.61,30.77,8.6,0.49
8.56,528.6,8.63,751.03,2.61,30.771,8.6,0.49
8.9,528.58,8.63,731.4,2.6,30.786,8.6,0.49
9.43,528.52,8.63,712.37,2.59,30.799,8.6,0.49
9.86,528.49,8.63,709.11,2.59,30.803,8.6,0.49
9.97,528.43,8.63,732.26,2.57,30.805,8.6,0.49
9.88,528.4,8.64,730.16,2.55,30.805,8.6,0.49
9.75,528.36,8.64,725.21,2.56,30.803,8.6,0.49
